business_name,website,public_phone,whatsapp,whatsapp_status,public_email,evidence_url,evidence_type,msorg_confidence,notes
VTUService,https://vtuservice.com,+2349045154411,,not_verified,vtuservice45@gmail.com,https://play.google.com/store/apps/details?id=com.vtuservice.msorgdevelopers,Google Play developer and app support,high,Website footer also credits MSORG; website itself lists 07065178930
Paying NG,https://paying.ng,+2349076598129,,not_verified,Paying.ng@gmail.com,https://play.google.com/store/apps/details?id=com.paying.ng,Google Play developer and app support,high,
VTU Empire,https://vtuempire.com,+2347031911035,,not_verified,vtuempire@gmail.com,https://play.google.com/store/apps/details?id=com.vtuempire.pro,Google Play developer and app support,high,
VTU Express,unknown,+2349017133838,,not_verified,Vtuexpress87@gmail.com,https://play.google.com/store/apps/details?id=com.vtuexpress.pro,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Zazzau Data,unknown,+2347067374932,,not_verified,ZAZZAUDATA@GMAIL.COM,https://play.google.com/store/apps/details?id=com.Zazzaudataa.pro,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Akramdata,unknown,+2348173165957,,not_verified,akramdata58@gmail.com,https://play.google.com/store/apps/details?id=com.akramdata.msorgdevelopers,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Easyflex,https://easyflex.ng,+2348101442745,,not_verified,easyflex.ng@gmail.com,https://play.google.com/store/apps/details?id=com.Easyflex.msorgdevelopers,Google Play developer and app support,high,
DDS Sub,unknown,,,not_available,detruthngdata@gmail.com,https://play.google.com/store/apps/details?id=ddssub.msorgdevelopers.com,Google Play developer and app support,high,Google Play exposes a website link but no phone in indexed record
DataSolution,unknown,+2347045344444,,not_verified,ardataplus@gmail.com,https://play.google.com/store/apps/details?id=com.DataSolution.apps,Google Play developer and app support,high,App/business naming and email domain differ; verify before outreach
Datalight,unknown,+2348032928165,,not_verified,Talk2Datalight@gmail.com,https://play.google.com/store/apps/details?id=com.datalight.app,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Dataflow,unknown,+2349053334264,,not_verified,Chiizzii1988@gmail.com,https://play.google.com/store/apps/details?id=com.dataflow.msorgdevelopers,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Imadetech,unknown,+2349112726549,,not_verified,imadeofficial1@gmail.com,https://play.google.com/store/apps/details?id=com.Imadetech.msorgdevelopers,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Zinaredata,unknown,+2348055924534,,not_verified,zinaredata97@gmail.com,https://play.google.com/store/apps/details?id=com.zinaredata.msorgdevelopers,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Paxconnect,https://paxconnect.com.ng,+2347066977209,,not_verified,Paxconnectventures@gmail.com,https://play.google.com/store/apps/details?id=com.paxconnect.msorgdevelopers,Google Play developer and app support,high,
Deedatdata,https://deedatdata.ng,+2348130312722,,not_verified,support@deedatdata.ng,https://play.google.com/store/apps/details?id=com.deedatdata.msorgdevelopers,Google Play developer and app support,high,
Anwardataco,https://anwardataco.com,,,not_available,support@Anwardataco.com,https://play.google.com/store/apps/details?id=com.msorgdevelopers.anwardataco,Google Play developer and app support,high,No phone published in indexed app record
ABM Tech,unknown,+2349067724407,,not_verified,abmtechnologies82@gmail.com,https://play.google.com/store/apps/details?id=com.abmtech.msorgdevelopers,Google Play developer and app support,high,Google Play exposes a website link but search result did not expose its target
Enjoy Diamond Data,unknown,+2349072859697,,not_verified,enjoydiamonddata@gmail.com,https://play.google.com/store/apps/details?id=com.Enjoydiamonddata.pro,Google Play developer and app support,high,App description unexpectedly mentions albishirdata.com; verify identity before outreach
